month,department_id,dept_opex,revenue,dept_opex_pct_revenue
2024-01-01,CS,210262.2,1922613.02,0.10936
2024-01-01,GA,356358.9,1922613.02,0.18535
2024-01-01,RND,734824.37,1922613.02,0.3822
2024-01-01,SM,841100.44,1922613.02,0.43748
2024-02-01,CS,210371.16,1971979.44,0.10668
2024-02-01,GA,359513.02,1971979.44,0.18231
2024-02-01,RND,753669.2999999999,1971979.44,0.38219
2024-02-01,SM,867200.97,1971979.44,0.43976
2024-03-01,CS,220798.8,2014643.3,0.1096
2024-03-01,GA,370596.51,2014643.3,0.18395
2024-03-01,RND,760333.49,2014643.3,0.3774
2024-03-01,SM,884716.9299999999,2014643.3,0.43914
2024-04-01,CS,219955.74,2048385.82,0.10738
2024-04-01,GA,373102.85000000003,2048385.82,0.18214
2024-04-01,RND,772621.1499999999,2048385.82,0.37719
2024-04-01,SM,870933.97,2048385.82,0.42518
2024-05-01,CS,231160.9,2074089.63,0.11145
2024-05-01,GA,376144.80000000005,2074089.63,0.18135
2024-05-01,RND,769260.92,2074089.63,0.37089
2024-05-01,SM,903792.01,2074089.63,0.43575
2024-06-01,CS,230898.28,2099477.76,0.10998
2024-06-01,GA,375106.93,2099477.76,0.17867
2024-06-01,RND,785923.87,2099477.76,0.37434
2024-06-01,SM,908193.07,2099477.76,0.43258
2024-07-01,CS,230793.12,2119264.37,0.1089
2024-07-01,GA,385781.57999999996,2119264.37,0.18204
2024-07-01,RND,831198.97,2119264.37,0.39221
2024-07-01,SM,945098.36,2119264.37,0.44596
2024-08-01,CS,242006.42,2150394.65,0.11254
2024-08-01,GA,386221.36,2150394.65,0.1796
2024-08-01,RND,823519.5499999999,2150394.65,0.38296
2024-08-01,SM,942127.65,2150394.65,0.43812
2024-09-01,CS,240758.6,2191059.4,0.10988
2024-09-01,GA,389020.0,2191059.4,0.17755
2024-09-01,RND,846272.67,2191059.4,0.38624
2024-09-01,SM,937631.8099999999,2191059.4,0.42794
2024-10-01,CS,250288.89,2242531.93,0.11161
2024-10-01,GA,388964.8,2242531.93,0.17345
2024-10-01,RND,852509.3,2242531.93,0.38015
2024-10-01,SM,963996.46,2242531.93,0.42987
2024-11-01,CS,252617.09,2295393.35,0.11005
2024-11-01,GA,404356.13,2295393.35,0.17616
2024-11-01,RND,873853.71,2295393.35,0.3807
2024-11-01,SM,982337.72,2295393.35,0.42796
2024-12-01,CS,252361.18,2349443.18,0.10741
2024-12-01,GA,403303.97,2349443.18,0.17166
2024-12-01,RND,881150.81,2349443.18,0.37505
2024-12-01,SM,1015422.74,2349443.18,0.4322
2025-01-01,CS,242005.27000000002,2385469.92,0.10145
2025-01-01,GA,405410.06,2385469.92,0.16995
2025-01-01,RND,923387.53,2385469.92,0.38709
2025-01-01,SM,1034052.16,2385469.92,0.43348
2025-02-01,CS,242883.97,2420343.67,0.10035
2025-02-01,GA,404976.57999999996,2420343.67,0.16732
2025-02-01,RND,934768.23,2420343.67,0.38621
2025-02-01,SM,1061030.54,2420343.67,0.43838
2025-03-01,CS,242274.72999999998,2451065.3899999997,0.09884
2025-03-01,GA,418596.88,2451065.3899999997,0.17078
2025-03-01,RND,962351.24,2451065.3899999997,0.39263
2025-03-01,SM,1094453.64,2451065.3899999997,0.44652
2025-04-01,CS,253234.76,2476125.77,0.10227
2025-04-01,GA,418300.53,2476125.77,0.16893
2025-04-01,RND,960535.3099999999,2476125.77,0.38792
2025-04-01,SM,1117542.59,2476125.77,0.45133
2025-05-01,CS,253968.5,2494545.63,0.10181
2025-05-01,GA,420736.78,2494545.63,0.16866
2025-05-01,RND,945109.14,2494545.63,0.37887
2025-05-01,SM,1131352.35,2494545.63,0.45353
2025-06-01,CS,262160.2,2511912.85,0.10437
2025-06-01,GA,534906.29,2511912.85,0.21295
2025-06-01,RND,940884.94,2511912.85,0.37457
2025-06-01,SM,1153120.46,2511912.85,0.45906
2025-07-01,CS,264165.06,2519295.65,0.10486
2025-07-01,GA,549486.58,2519295.65,0.21811
2025-07-01,RND,970758.09,2519295.65,0.38533
2025-07-01,SM,1181743.8800000001,2519295.65,0.46908
2025-08-01,CS,264118.64,2541400.21,0.10393
2025-08-01,GA,435833.63,2541400.21,0.17149
2025-08-01,RND,975609.68,2541400.21,0.38389
2025-08-01,SM,1196479.25,2541400.21,0.4708
2025-09-01,CS,273907.67000000004,2568827.3200000003,0.10663
2025-09-01,GA,434848.64,2568827.3200000003,0.16928
2025-09-01,RND,990945.9,2568827.3200000003,0.38576
2025-09-01,SM,1207839.57,2568827.3200000003,0.47019
2025-10-01,CS,274628.01,2605887.92,0.10539
2025-10-01,GA,438506.42,2605887.92,0.16828
2025-10-01,RND,1008599.9700000001,2605887.92,0.38705
2025-10-01,SM,1216925.55,2605887.92,0.46699
2025-11-01,CS,283872.62,2649507.21,0.10714
2025-11-01,GA,454952.3,2649507.21,0.17171
2025-11-01,RND,1003369.56,2649507.21,0.3787
2025-11-01,SM,1231001.8499999999,2649507.21,0.46462
2025-12-01,CS,285562.22000000003,2695829.96,0.10593
2025-12-01,GA,454831.32999999996,2695829.96,0.16872
2025-12-01,RND,1026176.8,2695829.96,0.38065
2025-12-01,SM,1258281.55,2695829.96,0.46675
