month,department_id,account_id,amount
2025-01-01,CORP,REV_SUB,2228708.33
2025-01-01,CORP,REV_SVC,156009.58
2025-01-01,CORP,COGS_HOST,276805.58
2025-01-01,CORP,COGS_SUPPORT,100291.88
2025-01-01,CORP,COGS_PAY,42924.92
2025-01-01,SM,SM_SAL,598004.17
2025-01-01,RND,RND_SAL,637875.0
2025-01-01,GA,GA_SAL,226406.25
2025-01-01,CS,CS_SAL,196980.0
2025-01-01,SM,SM_COMM,133722.5
2025-01-01,SM,SM_MKT,213840.0
2025-01-01,SM,SM_EVENTS,38600.0
2025-01-01,SM,SM_SW,22960.0
2025-01-01,SM,SM_TE,19440.0
2025-01-01,RND,RND_CONTRACT,121500.0
2025-01-01,RND,RND_CLOUD,64800.0
2025-01-01,RND,RND_SW,29440.0
2025-01-01,RND,RND_RECRUIT,26800.0
2025-01-01,GA,GA_LEGAL,47400.0
2025-01-01,GA,GA_SW,31200.0
2025-01-01,GA,GA_INS,22720.0
2025-01-01,GA,GA_FAC,56800.0
2025-01-01,GA,GA_ADMIN,18960.0
2025-01-01,CS,CS_SW,23878.4
2025-01-01,CS,CS_TRAIN,12840.0
2025-01-01,CS,CS_TE,10720.0
2025-02-01,CORP,REV_SUB,2261443.75
2025-02-01,CORP,REV_SVC,158301.06
2025-02-01,CORP,COGS_HOST,280871.31
2025-02-01,CORP,COGS_SUPPORT,101764.97
2025-02-01,CORP,COGS_PAY,43555.41
2025-02-01,SM,SM_SAL,610711.79
2025-02-01,RND,RND_SAL,652720.83
2025-02-01,GA,GA_SAL,226523.43
2025-02-01,CS,CS_SAL,197061.67
2025-02-01,SM,SM_COMM,135686.62
2025-02-01,SM,SM_MKT,215160.0
2025-02-01,SM,SM_EVENTS,38900.0
2025-02-01,SM,SM_SW,23040.0
2025-02-01,SM,SM_TE,19560.0
2025-02-01,RND,RND_CONTRACT,122250.0
2025-02-01,RND,RND_CLOUD,65200.0
2025-02-01,RND,RND_SW,29560.0
2025-02-01,RND,RND_RECRUIT,26950.0
2025-02-01,GA,GA_LEGAL,47600.0
2025-02-01,GA,GA_SW,31300.0
2025-02-01,GA,GA_INS,22780.0
2025-02-01,GA,GA_FAC,56950.0
2025-02-01,GA,GA_ADMIN,19040.0
2025-02-01,CS,CS_SW,24001.6
2025-02-01,CS,CS_TRAIN,12910.0
2025-02-01,CS,CS_TE,10780.0
2025-03-01,CORP,REV_SUB,2294256.25
2025-03-01,CORP,REV_SVC,160597.94
2025-03-01,CORP,COGS_HOST,284946.63
2025-03-01,CORP,COGS_SUPPORT,103241.53
2025-03-01,CORP,COGS_PAY,44187.38
2025-03-01,SM,SM_SAL,635663.9
2025-03-01,RND,RND_SAL,667595.83
2025-03-01,GA,GA_SAL,239231.77
2025-03-01,CS,CS_SAL,197143.33
2025-03-01,SM,SM_COMM,137655.38
2025-03-01,SM,SM_MKT,216480.0
2025-03-01,SM,SM_EVENTS,39200.0
2025-03-01,SM,SM_SW,23120.0
2025-03-01,SM,SM_TE,19680.0
2025-03-01,RND,RND_CONTRACT,123000.0
2025-03-01,RND,RND_CLOUD,65600.0
2025-03-01,RND,RND_SW,29680.0
2025-03-01,RND,RND_RECRUIT,27100.0
2025-03-01,GA,GA_LEGAL,47800.0
2025-03-01,GA,GA_SW,31400.0
2025-03-01,GA,GA_INS,22840.0
2025-03-01,GA,GA_FAC,57100.0
2025-03-01,GA,GA_ADMIN,19120.0
2025-03-01,CS,CS_SW,24124.8
2025-03-01,CS,CS_TRAIN,12980.0
2025-03-01,CS,CS_TE,10840.0
2025-04-01,CORP,REV_SUB,2327145.83
2025-04-01,CORP,REV_SVC,162900.21
2025-04-01,CORP,COGS_HOST,289031.51
2025-04-01,CORP,COGS_SUPPORT,104721.56
2025-04-01,CORP,COGS_PAY,44820.83
2025-04-01,SM,SM_SAL,648421.88
